"23";"2016-06-13 21:10:00";"Carrot Soup";"1";"1";"34";"2"
"24";"2016-06-13 21:10:00";"Carrot Soup";"1";"2";"54";"1"
"25";"2016-06-13 21:10:00";"Ulmodwich";"3";"2";"18";"15"
"26";"2016-06-13 21:10:00";"Yellow Cheese";"5";"1";"31";"2"
"27";"2016-06-13 21:10:00";"Yellow Cheese";"5";"2";"128";"3"
"28";"2016-06-13 22:10:00";"Carrot Soup";"1";"1";"34";"2"
"29";"2016-06-13 22:10:00";"Carrot Soup";"1";"2";"54";"1"
"30";"2016-06-13 22:10:00";"Ulmodwich";"3";"2";"18";"15"
"31";"2016-06-13 22:10:00";"Yellow Cheese";"5";"1";"31";"2"
"32";"2016-06-13 22:10:00";"Yellow Cheese";"5";"2";"128";"3"
"35";"2016-06-13 23:10:00";"Carrot Soup";"1";"1";"34";"2"
"36";"2016-06-13 23:10:00";"Carrot Soup";"1";"2";"54";"1"
"37";"2016-06-13 23:10:00";"Ulmodwich";"3";"2";"18";"15"
"38";"2016-06-13 23:10:00";"Yellow Cheese";"5";"1";"31";"2"
"39";"2016-06-13 23:10:00";"Yellow Cheese";"5";"2";"128";"3"
"42";"2016-06-14 00:10:00";"Carrot Soup";"1";"1";"34";"2"
"43";"2016-06-14 00:10:00";"Carrot Soup";"1";"2";"54";"1"
"44";"2016-06-14 00:10:00";"Ulmodwich";"3";"2";"18";"15"
"45";"2016-06-14 00:10:00";"Yellow Cheese";"5";"1";"31";"2"
"46";"2016-06-14 00:10:00";"Yellow Cheese";"5";"2";"128";"3"
"49";"2016-06-14 01:10:00";"Carrot Soup";"1";"1";"34";"2"
"50";"2016-06-14 01:10:00";"Carrot Soup";"1";"2";"54";"1"
"51";"2016-06-14 01:10:00";"Ulmodwich";"3";"2";"18";"15"
"52";"2016-06-14 01:10:00";"Yellow Cheese";"5";"1";"31";"2"
"53";"2016-06-14 01:10:00";"Yellow Cheese";"5";"2";"128";"3"
